post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,total_likes,total_comments,total_shares,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement
17,713,2024-01-22 00:00:00,informational,image,17242,9.755103547,0,8.07,60,60,1,2,63,1.05,0.666666667,-0.587963542,8482,14222,1.677,6.81,0.126,-0.019341722,0,60,7,2,3,0,1,0.000354,0,0.221561998,60,4
18,533,2024-10-16 00:00:00,informational,image,27831,10.23390579,0,0.63,60,68,4,6,78,1.3,0.714285714,-0.221947764,9061,10105,1.115,6.57,0.137,-0.280383198,0,68,7,0,0,0,1,0,0,-0.598162216,68,1
19,723,2025-02-21 00:00:00,experiential,image,7722,8.951828677,0,4.51,60,39,8,2,49,0.816666667,3,-0.440955473,3877,4938,1.274,6.72,0,-0.835589889,0,39,4,2,0,0,1,0,0,-0.598162216,39,1
20,652,2025-11-26 00:00:00,experiential,video,91726,11.42656115,0,9.63,60,60,12,9,81,1.35,1.3,0.197966263,8225,15758,1.916,6.39,0.215,-0.0383904,0,162,7,2,4,0,1,0.000486,0,0.353508125,162,5
21,293,2025-01-12 00:00:00,informational,image,16492,9.710630694,0,9.74,60,121,4,11,136,2.266666667,0.416666667,0.397585854,5988,8082,1.35,7.83,0.089,-0.245174849,0,121,2,0,2,1,0,0.000334,0.000167,0.258951836,121,3
22,101,2025-08-20 00:00:00,informational,image,7220,8.884610232,0,7.89,60,112,6,4,122,2.033333333,1.4,0.112168564,6294,6294,1,6.56,0.035,-0.635777824,0,112,11,2,0,0,0,0,0,-0.807960728,112,0
23,502,2025-02-03 00:00:00,informational,image,200670,12.20941705,1,1.09,60,19,16,10,45,0.75,1.545454545,0.105580859,14449,15432,1.068,4.99,0.23,-0.305797968,0,271,11,0,3,3,1,0.000208,0.000208,1.056154985,271,7
24,304,2024-01-30 00:00:00,promotional,video,54741,10.91036825,0,0.64,60,105,15,1,121,2.016666667,8,0.322271168,12931,16676,1.29,6.01,0.102,-0.029210284,0,105,12,0,0,1,2,0,0.000077,-0.05814146,105,3
25,540,2024-08-17 00:00:00,promotional,carousel,16699,9.723104116,1,6.92,60,36,3,2,41,0.683333333,1.333333333,-0.682459754,8088,18066,2.234,7.18,0.088,0.216579286,0,36,1,1,1,0,0,0.000124,0,-0.398098621,36,1
26,553,2025-02-24 00:00:00,experiential,video,95586,11.46778164,1,9.96,60,76,18,14,108,1.8,1.266666667,0.799425029,18834,35963,1.909,7.55,0.169,0.840887514,0,209,1,4,0,1,2,0,0.000053,-0.05814146,209,3
27,355,2025-11-24 00:00:00,promotional,image,29173,10.2809989,0,0.88,60,111,12,5,128,2.133333333,2.166666667,0.41061501,10678,17482,1.637,6.16,0.205,0.00970267,0,111,2,0,9,1,0,0.000843,0.000094,0.970868213,111,10
28,303,2025-09-19 00:00:00,experiential,video,62774,11.04729625,0,2.37,60,37,26,8,71,1.183333333,3,0.592539906,21480,46354,2.158,7.25,0.173,0.975209312,0,43,7,1,1,0,0,0.000047,0,-0.398098621,43,1
29,496,2024-06-15 00:00:00,informational,image,50966,10.83891402,1,4.06,60,6,2,2,10,0.166666667,1,-0.953708188,7270,10575,1.455,5.61,0.071,-0.497332549,0,60,2,0,1,1,0,0.000138,0.000138,0.019197873,60,2
30,658,2024-06-09 00:00:00,informational,image,29024,10.27587835,0,11.78,60,28,8,3,39,0.65,2.25,-0.48084697,4419,5890,1.333,5.57,0.149,-0.956247904,0,28,1,0,5,0,1,0.001131,0,0.461315961,28,6
31,768,2024-05-26 00:00:00,promotional,carousel,174696,12.0708026,1,9.42,60,106,18,4,128,2.133333333,3.8,0.591679925,64227,132924,2.07,5.1,0.249,1.335825067,1,298,3,1,0,5,2,0,0.000078,0.603257834,298,7
32,227,2025-11-04 00:00:00,experiential,video,31707,10.36429276,0,10.27,60,57,9,4,70,1.166666667,2,-0.173657523,5372,8020,1.493,7.53,0.241,-0.319089257,0,57,3,0,5,1,0,0.000931,0.000186,0.668813942,57,6
33,236,2025-09-14 00:00:00,promotional,image,56045,10.93391022,0,5.78,60,80,1,5,86,1.433333333,0.333333333,-0.305725732,4284,4284,1,5.63,0.141,-1.144813448,0,80,0,1,1,3,1,0.000233,0.0007,0.646292878,80,5
34,455,2025-07-19 00:00:00,promotional,image,17496,9.769727562,0,5.93,60,98,16,6,120,2,2.428571429,0.530560633,28103,46398,1.651,5.41,0.161,0.604963213,0,98,9,0,1,0,0,0.000036,0,-0.398098621,98,1
35,13,2024-10-13 00:00:00,experiential,image,37872,10.54196733,0,4.78,60,75,3,11,89,1.483333333,0.333333333,0.005005403,4636,7179,1.549,6.93,0.131,-0.525185413,0,90,1,0,5,1,5,0.001079,0.000216,1.211135228,90,11
36,210,2025-01-03 00:00:00,informational,image,1401049,14.1527318,1,2.24,60,303,8,9,320,5.333333333,0.9,1.865692627,751750,1102386,1.466,5.19,0.4,3.062309257,1,876775,2,0,151,19,13,0.000201,0.000025,4.764992949,876775,183
37,741,2024-12-04 00:00:00,informational,video,4718,8.45914026,0,9.74,60,42,11,4,57,0.95,2.4,-0.199904476,3575,3685,1.031,6.94,0.088,-0.986553443,0,42,4,0,0,0,0,0,0,-0.807960728,42,0
38,397,2024-07-03 00:00:00,informational,image,5361,8.586905804,0,0.64,60,50,2,1,53,0.883333333,1.5,-0.663569409,7431,10845,1.459,6.51,0.028,-0.27801519,0,50,1,2,0,0,0,0,0,-0.807960728,50,0
39,100,2025-01-03 00:00:00,informational,carousel,23515,10.06539379,0,6.03,60,70,3,2,75,1.25,1.333333333,-0.424629221,8503,15584,1.833,7.01,0.198,0.083264839,0,70,4,2,0,0,4,0,0,-0.320823669,70,4
40,31,2024-01-23 00:00:00,experiential,video,16290,9.698306702,0,10.18,60,28,3,16,47,0.783333333,0.235294118,-0.133786076,7607,11333,1.49,5.62,0.11,-0.443528597,0,28,5,1,0,1,0,0,0.000131,-0.390664234,28,1
41,528,2024-04-06 00:00:00,informational,carousel,31197,10.34807722,0,1.89,60,90,9,12,111,1.85,0.769230769,0.424783865,7825,24113,3.082,5.29,0.231,0.017509303,0,90,0,0,1,0,1,0.000128,0,-0.188300109,90,2
42,649,2025-10-09 00:00:00,informational,video,23601,10.06904436,1,2,60,26,8,8,42,0.7,1,-0.278392156,1898,2449,1.29,7.83,0.199,-1.179916982,0,26,1,5,0,1,0,0,0.000527,-0.390664234,26,1
43,329,2025-07-02 00:00:00,experiential,video,55499,10.92412028,0,2.13,60,208,11,10,229,3.816666667,1.090909091,1.320060764,138044,204884,1.484,5.63,0.253,1.841596951,1,208,6,4,0,0,1,0,0,-0.598162216,208,1
44,166,2024-11-04 00:00:00,informational,video,44926,10.71277197,0,2.06,60,45,8,4,57,0.95,1.8,-0.30840744,3728,5917,1.587,6.19,0.228,-0.834248908,0,45,7,1,0,0,1,0,0,-0.598162216,45,1
45,459,2025-01-12 00:00:00,experiential,image,17092,9.746365797,0,11.67,60,74,2,3,79,1.316666667,0.75,-0.394522859,15957,30376,1.904,5.63,0.15,0.309588203,0,74,1,0,1,1,0,0.000063,0.000063,0.019197873,74,2
46,100,2024-09-27 00:00:00,experiential,video,23515,10.06539379,0,6.03,60,180,16,7,203,3.383333333,2.125,1.195911476,11415,14675,1.286,7.49,0.17,0.170734044,0,180,1,0,0,0,0,0,0,-0.807960728,180,0
47,621,2025-06-24 00:00:00,experiential,image,13488,9.50955568,0,1.16,60,52,20,9,81,1.35,2.1,0.4873075,7283,16584,2.277,7.41,0.197,0.191206395,0,52,7,1,1,0,0,0.000137,0,-0.398098621,52,1
48,173,2025-07-26 00:00:00,promotional,image,27526,10.22288629,0,3.51,60,137,4,3,144,2.4,1.25,0.170723763,5309,7535,1.419,6.17,0.096,-0.633983862,0,137,5,3,0,1,1,0,0.000188,-0.180865722,137,2
49,749,2025-07-11 00:00:00,informational,image,16131,9.688498165,0,11.76,60,70,6,6,82,1.366666667,1,-0.119279451,8239,14990,1.819,6.16,0.076,-0.122651225,0,70,0,1,0,0,0,0,0,-0.807960728,70,0
50,162,2025-06-11 00:00:00,informational,video,65322,11.08708417,0,8.89,60,38,5,0,43,0.716666667,6,-0.666839967,11576,22875,1.976,6.5,0.15,0.27587121,0,112,0,3,1,0,1,0.000086,0,-0.188300109,112,2
51,728,2024-05-29 00:00:00,promotional,carousel,42091,10.64758922,0,11.48,60,148,10,0,158,2.633333333,11,0.386072168,9446,17967,1.902,5.54,0.155,-0.125884838,0,148,20,3,0,0,1,0,0,-0.598162216,148,1
52,776,2024-09-03 00:00:00,experiential,image,6184,8.72972059,0,4.15,60,181,2,5,188,3.133333333,0.5,0.503933521,13111,17154,1.308,6.81,0.066,0.160100943,0,181,11,0,0,1,0,0,0.000076,-0.390664234,181,1
53,263,2024-12-08 00:00:00,promotional,video,1163,7.058758153,0,9.42,60,48,0,1,49,0.816666667,0.5,-0.766237722,3156,4871,1.543,6.6,0.104,-0.897383751,0,48,0,1,0,0,0,0,0,-0.807960728,48,0
54,274,2024-08-29 00:00:00,informational,carousel,30038,10.31021853,0,6.63,60,233,12,7,252,4.2,1.625,1.422820155,29565,58005,1.962,5.34,0.207,0.74678386,0,233,3,1,0,0,0,0,0,-0.807960728,233,0
55,3,2025-07-05 00:00:00,promotional,image,56823,10.94769645,1,11.77,60,110,1,4,115,1.916666667,0.4,-0.121752467,5836,8381,1.436,6.84,0.251,-0.411591144,0,110,13,0,4,0,1,0.000685,0,0.353508125,110,5
56,28,2024-08-28 00:00:00,promotional,image,43291,10.67570004,0,3.4,60,73,2,8,83,1.383333333,0.333333333,-0.184484794,8142,14560,1.788,7.69,0.011,0.1596867,0,180,6,4,2,0,0,0.000246,0,-0.158344658,180,2
57,326,2024-04-10 00:00:00,experiential,image,8829,9.085797037,0,10,60,25,4,1,30,0.5,2.5,-0.765648872,3246,8153,2.512,6.63,0.123,-0.526773816,0,25,1,1,0,0,0,0,0,-0.807960728,25,0
58,149,2024-10-18 00:00:00,informational,carousel,50108,10.82193595,0,3.48,60,155,0,3,158,2.633333333,0.25,0.132218658,10090,12863,1.275,6.49,0.164,-0.128402374,0,155,4,1,0,1,1,0,0.000099,-0.180865722,155,2
59,540,2025-12-16 00:00:00,promotional,image,16699,9.723104116,1,6.92,60,21,3,3,27,0.45,1,-0.752684255,3757,5207,1.386,7.26,0.233,-0.700149344,0,36,1,1,0,0,0,0,0,-0.807960728,36,0
60,488,2024-06-13 00:00:00,promotional,image,10081,9.218407743,1,2.01,60,32,1,5,38,0.633333333,0.333333333,-0.669721779,3271,4002,1.223,6.56,0.121,-1.028086412,0,32,0,0,3,0,2,0.000917,0,0.34428626,32,5
61,438,2025-03-22 00:00:00,promotional,video,7479,8.919854372,0,7.76,60,87,11,4,102,1.7,2.4,0.141341817,9670,11451,1.184,6.33,0.011,-0.242389521,0,87,1,1,0,0,0,0,0,-0.807960728,87,0
62,65,2024-11-12 00:00:00,informational,carousel,67005,11.11252252,0,9.7,60,76,3,3,82,1.366666667,1,-0.335605452,14646,24829,1.695,5.24,0.222,0.066888132,0,76,1,1,1,0,0,0.000068,0,-0.398098621,76,1
63,356,2024-02-21 00:00:00,promotional,carousel,10910,9.297435079,0,4,60,29,8,2,39,0.65,3,-0.516787982,5822,11006,1.89,5.72,0.037,-0.469236722,0,29,2,0,0,1,0,0,0.000172,-0.390664234,29,1
64,533,2024-12-22 00:00:00,informational,image,27831,10.23390579,0,0.63,60,30,2,2,34,0.566666667,1,-0.771710165,7453,13358,1.792,6.43,0.095,-0.154015295,0,30,6,0,1,0,0,0.000134,0,-0.398098621,30,1
65,252,2025-05-27 00:00:00,informational,carousel,74448,11.21785617,0,9.38,60,89,15,5,109,1.816666667,2.666666667,0.375036205,15927,24698,1.551,5.72,0.222,0.189209899,0,89,5,0,2,1,3,0.000126,0.000063,0.678548859,89,6
66,235,2025-01-09 00:00:00,experiential,image,253709,12.44394322,1,9.77,60,477,18,3,498,8.3,4.75,3.361541772,1149566,1797877,1.564,2.82,0.326,2.683478106,1,477,0,0,1,5,2,0.000001,0.000004,1.01311994,477,8
67,227,2025-09-28 00:00:00,informational,image,31707,10.36429276,0,10.27,60,34,7,4,45,0.75,1.6,-0.435574107,13503,14403,1.067,6.21,0.123,-0.069281433,0,48,2,0,1,2,4,0.000074,0.000148,0.750437732,48,7
68,525,2024-07-29 00:00:00,experiential,carousel,13860,9.536762273,0,7.54,60,63,3,5,71,1.183333333,0.666666667,-0.347139188,5717,12792,2.238,6.16,0.202,-0.264429769,0,63,10,0,1,0,2,0.000175,0,-0.065575847,63,3
69,313,2024-03-03 00:00:00,experiential,video,67875,11.12542306,1,9.92,60,189,18,5,212,3.533333333,3.166666667,1.264614019,10435,18415,1.765,6.75,0.251,0.166886398,0,402,0,1,17,1,0,0.001629,0.000096,1.318430012,402,18
70,49,2025-11-14 00:00:00,informational,image,41924,10.64361373,0,7.29,60,70,25,9,104,1.733333333,2.6,0.842560546,8598,18212,2.118,5.13,0.299,-0.225598064,0,70,2,0,0,2,5,0,0.000233,0.395759852,70,7
71,118,2024-10-03 00:00:00,experiential,video,9240,9.131297165,0,6.45,60,54,8,5,67,1.116666667,1.5,-0.196633918,8815,18710,2.123,6.16,0.084,0.039102283,0,54,2,1,0,1,0,0,0.000113,-0.390664234,54,1
72,54,2025-02-24 00:00:00,promotional,video,54813,10.91168267,1,10.54,60,49,33,3,85,1.416666667,8.5,0.772173941,28624,56575,1.976,6.55,0.13,1.000139999,0,81,1,0,0,1,1,0,0.000035,-0.180865722,81,2
73,650,2025-08-01 00:00:00,informational,carousel,59647,10.99619913,0,9.59,60,127,2,3,132,2.2,0.75,0.007389442,4925,12242,2.486,8.61,0.154,0.155860727,0,127,6,0,2,1,0,0.000406,0.000203,0.258951836,127,3
74,565,2024-08-24 00:00:00,experiential,carousel,98836,11.50121719,1,5.45,60,13,3,4,20,0.333333333,0.8,-0.769825999,4292,7463,1.739,6.85,0.163,-0.523596464,0,372,5,0,3,3,3,0.000699,0.000699,1.265953497,372,9
75,44,2025-06-06 00:00:00,informational,video,22002,9.998888637,0,2.96,60,68,5,9,82,1.366666667,0.6,-0.047624069,17210,17210,1,5.44,0.067,-0.094049931,0,68,2,5,0,0,0,0,0,-0.807960728,68,0
76,53,2024-04-08 00:00:00,experiential,carousel,15109,9.623045872,0,8.42,60,43,21,4,68,1.133333333,4.4,0.245187831,23395,33939,1.451,4.92,0.071,0.249560753,0,43,4,2,1,0,2,0.000043,0,-0.065575847,43,3
77,586,2024-07-31 00:00:00,informational,video,38110,10.54823199,0,0.82,60,15,12,3,30,0.5,3.25,-0.40442561,8837,19609,2.219,6.37,0.088,0.118141835,0,36,5,3,1,0,0,0.000113,0,-0.398098621,36,1
78,558,2024-04-15 00:00:00,experiential,video,19292,9.867445781,0,7.2,60,63,8,2,73,1.216666667,3,-0.258957449,9817,22861,2.329,6.22,0.209,0.203792398,0,63,5,0,0,1,0,0,0.000102,-0.390664234,63,1
79,525,2025-08-15 00:00:00,informational,video,13860,9.536762273,0,7.54,60,33,4,10,47,0.783333333,0.454545455,-0.313264495,8626,14162,1.642,5.2,0.249,-0.382210626,0,33,0,2,0,1,0,0,0.000116,-0.390664234,33,1
80,677,2024-06-11 00:00:00,promotional,image,9793,9.189423124,0,2.81,60,19,4,4,27,0.45,1,-0.680575588,4477,7215,1.612,6.22,0.058,-0.672995076,0,19,3,0,0,0,0,0,0,-0.807960728,19,0
81,102,2025-06-07 00:00:00,experiential,image,19523,9.879348537,0,1.25,60,141,8,16,165,2.75,0.529411765,0.941875812,12293,17186,1.398,7.36,0.126,0.258889854,0,141,9,1,0,1,0,0,0.000081,-0.390664234,141,1
82,792,2025-11-19 00:00:00,experiential,image,36596,10.50769422,0,4.1,60,21,10,3,34,0.566666667,2.75,-0.446427915,11614,17099,1.472,5.43,0.078,-0.163500326,0,21,1,4,2,1,5,0.000172,0.000086,0.801273121,21,8
83,770,2025-01-20 00:00:00,experiential,video,182125,12.11244854,1,6.21,60,26,8,2,36,0.6,3,-0.539537735,13015,14713,1.13,7.2,0.117,0.138718671,0,487,4,0,16,5,3,0.001229,0.000384,2.365628215,487,24
84,398,2025-01-29 00:00:00,experiential,image,115136,11.65386932,0,5.89,60,18,1,3,22,0.366666667,0.5,-0.862935819,1572,1896,1.206,5.37,0.11,-1.882950838,0,293,2,2,1,0,1,0.000636,0,-0.188300109,293,2
85,138,2024-12-02 00:00:00,experiential,image,21546,9.977945463,0,7.26,60,58,16,4,78,1.3,3.4,0.140182068,16317,25206,1.545,6.38,0.145,0.352558477,0,58,4,0,0,1,1,0,0.000061,-0.180865722,58,2
86,675,2024-08-25 00:00:00,experiential,image,7277,8.892473968,0,7.1,60,71,2,2,75,1.25,1,-0.460796875,8324,14372,1.727,7.12,0.056,0.046845564,0,71,1,2,0,0,1,0,0,-0.598162216,71,1
87,387,2024-12-13 00:00:00,experiential,image,41846,10.64175149,0,8.86,60,267,3,5,275,4.583333333,0.666666667,1.19984401,26599,56260,2.115,6.85,0.235,1.051472391,0,267,6,1,0,0,1,0,0,-0.598162216,267,1
88,111,2025-03-16 00:00:00,informational,video,4364,8.381144347,0,6.23,60,24,1,0,25,0.416666667,2,-0.948009103,9868,14485,1.468,5.78,0.005,-0.210734138,0,24,9,1,1,1,0,0.000101,0.000101,0.019197873,24,2
89,614,2025-12-20 00:00:00,informational,image,9648,9.174505919,0,6.73,60,28,0,0,28,0.466666667,1,-0.961427005,7106,13516,1.902,6.75,0.169,-0.084225258,0,28,3,0,1,1,1,0.000141,0.000141,0.228996385,28,3
90,17,2025-11-15 00:00:00,experiential,image,10799,9.287208816,0,11.35,60,18,4,1,23,0.383333333,2.5,-0.818731629,9568,15541,1.624,5.19,0.049,-0.310387816,0,18,5,0,0,0,0,0,0,-0.807960728,18,0
91,780,2025-09-21 00:00:00,promotional,video,55308,10.92067284,1,3.68,60,115,3,3,121,2.016666667,1,-0.039858664,9317,13563,1.456,5.88,0.119,-0.238514439,0,115,4,1,1,0,2,0.000107,0,-0.065575847,115,3
92,182,2025-10-11 00:00:00,informational,carousel,12618,9.442879645,0,6.11,60,18,4,1,23,0.383333333,2.5,-0.818731629,14568,29387,2.017,6.98,0.055,0.568866446,0,18,6,2,4,0,1,0.000275,0,0.353508125,18,5
93,536,2024-12-07 00:00:00,informational,image,31176,10.34740385,0,6.09,60,39,1,5,45,0.75,0.333333333,-0.616639022,1322,2141,1.62,6.47,0.24,-1.577755116,0,39,10,1,2,0,1,0.001513,0,0.051453854,39,3
94,541,2025-04-24 00:00:00,informational,image,68576,11.1356979,0,4.45,60,84,3,0,87,1.45,4,-0.405512234,19345,33811,1.748,5.63,0.097,0.402272363,0,172,11,0,2,3,0,0.000103,0.000155,0.676248329,172,5
95,171,2025-10-15 00:00:00,promotional,carousel,12216,9.410501847,0,1.16,60,26,3,7,36,0.6,0.5,-0.540670947,7612,9198,1.208,6.28,0.125,-0.429176779,0,26,0,0,0,1,0,0,0.000131,-0.390664234,26,1
96,409,2024-10-13 00:00:00,promotional,image,33533,10.42028531,0,10.76,60,42,1,22,65,1.083333333,0.086956522,0.146023206,13991,17948,1.283,6.42,0.194,0.118577543,0,42,4,0,0,0,1,0,0,-0.598162216,42,1
97,740,2025-12-03 00:00:00,experiential,carousel,81991,11.31436476,0,3.73,60,46,43,7,96,1.6,5.5,1.361030298,34949,39809,1.139,5.6,0.296,0.582106852,0,321,2,2,2,0,4,0.000057,0,0.328792401,321,6
98,378,2024-10-30 00:00:00,promotional,image,35716,10.48335405,0,11.06,60,133,14,3,150,2.5,3.75,0.577899816,16220,36525,2.252,5.81,0.194,0.483717146,0,133,4,5,1,5,4,0.000062,0.000308,1.167734225,133,10
99,188,2025-03-14 00:00:00,experiential,image,27644,10.22716399,0,5.23,60,39,7,7,53,0.883333333,1,-0.267085062,7582,7825,1.032,6.24,0.113,-0.537877627,0,39,7,2,3,0,0,0.000396,0,0.011763486,39,3
100,230,2025-06-02 00:00:00,promotional,image,58665,10.97959858,0,5.24,60,115,4,11,130,2.166666667,0.416666667,0.352086348,12170,17273,1.419,6.43,0.211,0.075886735,0,115,8,1,3,0,0,0.000247,0,0.011763486,115,3
101,119,2025-11-24 00:00:00,informational,image,93230,11.44282484,0,5.56,60,29,39,1,69,1.15,20,0.795965829,30745,53460,1.739,4.32,0.198,0.418982829,0,154,1,0,1,0,5,0.000033,0,0.144222665,154,6
102,156,2024-06-27 00:00:00,informational,carousel,14554,9.585621149,0,6.05,60,29,16,3,48,0.8,4.25,-0.123256474,7168,14088,1.965,6.83,0.161,-0.038408411,0,29,3,1,1,2,0,0.00014,0.000279,0.263300673,29,3
103,784,2025-06-28 00:00:00,experiential,carousel,54753,10.91058744,0,0.54,60,74,1,4,79,1.316666667,0.4,-0.394749502,12617,28507,2.259,5.66,0.187,0.253057857,0,74,12,0,1,0,1,0.000079,0,-0.188300109,74,2
104,687,2025-01-15 00:00:00,experiential,carousel,23381,10.05967901,1,7.71,60,147,10,3,160,2.666666667,2.75,0.509061707,14499,21957,1.514,5.69,0.077,0.092187356,0,147,8,0,0,0,0,0,0,-0.807960728,147,0
105,465,2024-07-15 00:00:00,experiential,carousel,26574,10.18768857,0,2.88,60,4,7,0,11,0.183333333,8,-0.837168689,14766,16126,1.092,6.92,0,0.162675112,0,29,1,2,0,0,1,0,0,-0.598162216,29,1
106,104,2025-07-20 00:00:00,informational,carousel,13329,9.497697392,0,6.96,60,107,7,2,116,1.933333333,2.666666667,0.030954688,6624,13072,1.973,7.13,0.18,-0.038840321,0,107,0,0,1,0,0,0.000151,0,-0.398098621,107,1
107,604,2025-02-07 00:00:00,experiential,video,115340,11.65563957,1,10.01,60,43,26,12,81,1.35,2.076923077,0.812136465,50677,70494,1.391,4.99,0.207,0.849894554,1,202,9,0,0,3,1,0,0.000059,0.236430771,202,4
108,698,2025-04-27 00:00:00,informational,carousel,8509,9.048879706,0,3.71,60,40,6,3,49,0.816666667,1.75,-0.47734977,5972,13471,2.256,5.71,0.036,-0.325971342,0,40,0,0,2,0,0,0.000335,0,-0.158344658,40,2
109,795,2024-08-23 00:00:00,informational,image,10086,9.218903603,0,5.49,60,41,2,1,44,0.733333333,1.5,-0.731818668,3737,4855,1.299,6.08,0.029,-0.987725351,0,41,10,1,0,0,0,0,0,-0.807960728,41,0
110,502,2024-12-17 00:00:00,promotional,image,200670,12.20941705,1,1.09,60,26,6,0,32,0.533333333,7,-0.714088073,2520,3066,1.217,6.01,0.155,-1.355360142,0,1049,11,2,7,0,3,0.002778,0,0.841222617,1049,10
111,693,2025-03-26 00:00:00,promotional,video,10086,9.218903603,0,8.46,60,30,11,3,44,0.733333333,3,-0.334427751,7330,13004,1.774,6.71,0.114,-0.116135003,0,30,13,0,0,0,0,0,0,-0.807960728,30,0
112,682,2024-10-22 00:00:00,promotional,carousel,9614,9.170975648,0,10.77,60,46,11,3,60,1,3,-0.213095736,7414,11888,1.603,6.16,0.221,-0.292024558,0,46,2,5,0,0,0,0,0,-0.807960728,46,0
113,699,2024-05-24 00:00:00,experiential,video,74909,11.22402932,0,2.92,60,23,6,6,35,0.583333333,1,-0.475692246,7013,11054,1.576,6.12,0.209,-0.356083883,0,43,7,6,1,0,6,0.000143,0,0.190880264,43,7
